,full_url,capture_date,original_url
54,https://arquivo.pt/noFrame/replay/20180721150639/https://gimp.it.softonic.com/mac,2.01807E+13,https://gimp.it.softonic.com/mac
55,https://arquivo.pt/noFrame/replay/20150410134409/http://www.opensource.org/,2.01504E+13,http://www.opensource.org/
56,https://arquivo.pt/noFrame/replay/20091012112215/http://www.opensourcematters.org/,2.0091E+13,http://www.opensourcematters.org/
57,https://arquivo.pt/noFrame/replay/20160110042134/http://plone.org/,2.01601E+13,http://plone.org/
58,https://arquivo.pt/noFrame/replay/20180721150638/https://gimp.de.softonic.com/mac,2.01807E+13,https://gimp.de.softonic.com/mac
59,https://arquivo.pt/noFrame/replay/20090926130334/http://www.phpmyvisites.us/,2.00909E+13,http://www.phpmyvisites.us/
60,https://arquivo.pt/noFrame/replay/20170613000046/http://st.free.fr/,2.01706E+13,http://st.free.fr/
61,https://arquivo.pt/noFrame/replay/20191013202648/https://gimp.it.softonic.com/mac,2.0191E+13,https://gimp.it.softonic.com/mac
62,https://arquivo.pt/noFrame/replay/20191004141130/http://st.free.fr/,2.0191E+13,http://st.free.fr/
63,https://arquivo.pt/noFrame/replay/20091001110739/http://en.wikipedia.org/wiki/Open_source,2.0091E+13,http://en.wikipedia.org/wiki/Open_source
64,https://arquivo.pt/noFrame/replay/20090922113111/http://www.phpmyvisites.net/,2.00909E+13,http://www.phpmyvisites.net/
65,https://arquivo.pt/noFrame/replay/20170605101918/http://www.phpmyvisites.net/,2.01706E+13,http://www.phpmyvisites.net/
66,https://arquivo.pt/noFrame/replay/20170605114330/http://piwik.org/,2.01706E+13,http://piwik.org/
67,https://arquivo.pt/noFrame/replay/20180721150629/https://gimp.en.softonic.com/mac,2.01807E+13,https://gimp.en.softonic.com/mac
68,https://arquivo.pt/noFrame/replay/20080318020311/http://secondlifegrid.net/programs/open_source,2.00803E+13,http://secondlifegrid.net/programs/open_source
69,https://arquivo.pt/noFrame/replay/20141122234718/http://piwik.org/,2.01411E+13,http://piwik.org/
70,https://arquivo.pt/noFrame/replay/20190401010139/https://gimp.de.softonic.com/mac,2.01904E+13,https://gimp.de.softonic.com/mac
71,https://arquivo.pt/noFrame/replay/20141126075600/http://en.wikipedia.org/wiki/Open_source,2.01411E+13,http://en.wikipedia.org/wiki/Open_source
72,https://arquivo.pt/noFrame/replay/20180721181933/https://inkscape.de.softonic.com/mac,2.01807E+13,https://inkscape.de.softonic.com/mac
